,Accommodation_Capacity,Unit of measurement,Economic activity,Region,Year,Value
31,Bedplaces,Number,Hotels and similar accommodation,Piemonte,2021,79892.0
32,Bedplaces,Number,Hotels and similar accommodation,Piemonte,2022,80182.0
33,Bedplaces,Number,Hotels and similar accommodation,Piemonte,2023,80179.0
36,Bedplaces,Number,Hotels and similar accommodation,Valle d'Aosta,2021,24920.0
37,Bedplaces,Number,Hotels and similar accommodation,Valle d'Aosta,2022,25035.0
38,Bedplaces,Number,Hotels and similar accommodation,Valle d'Aosta,2023,24608.0
41,Bedplaces,Number,Hotels and similar accommodation,Liguria,2021,59691.0
42,Bedplaces,Number,Hotels and similar accommodation,Liguria,2022,58741.0
43,Bedplaces,Number,Hotels and similar accommodation,Liguria,2023,58123.0
46,Bedplaces,Number,Hotels and similar accommodation,Lombardia,2021,197789.0
47,Bedplaces,Number,Hotels and similar accommodation,Lombardia,2022,200067.0
48,Bedplaces,Number,Hotels and similar accommodation,Lombardia,2023,197352.0
56,Bedplaces,Number,Hotels and similar accommodation,Abruzzo,2021,50311.0
57,Bedplaces,Number,Hotels and similar accommodation,Abruzzo,2022,50438.0
58,Bedplaces,Number,Hotels and similar accommodation,Abruzzo,2023,50476.0
61,Bedplaces,Number,Hotels and similar accommodation,Molise,2021,4975.0
62,Bedplaces,Number,Hotels and similar accommodation,Molise,2022,4849.0
63,Bedplaces,Number,Hotels and similar accommodation,Molise,2023,4849.0
66,Bedplaces,Number,Hotels and similar accommodation,Campania,2021,126086.0
67,Bedplaces,Number,Hotels and similar accommodation,Campania,2022,126633.0
68,Bedplaces,Number,Hotels and similar accommodation,Campania,2023,126857.0
71,Bedplaces,Number,Hotels and similar accommodation,Puglia,2021,109118.0
72,Bedplaces,Number,Hotels and similar accommodation,Puglia,2022,109649.0
73,Bedplaces,Number,Hotels and similar accommodation,Puglia,2023,110540.0
76,Bedplaces,Number,Hotels and similar accommodation,Basilicata,2021,18837.0
77,Bedplaces,Number,Hotels and similar accommodation,Basilicata,2022,19733.0
78,Bedplaces,Number,Hotels and similar accommodation,Basilicata,2023,19910.0
81,Bedplaces,Number,Hotels and similar accommodation,Calabria,2021,97019.0
82,Bedplaces,Number,Hotels and similar accommodation,Calabria,2022,97495.0
83,Bedplaces,Number,Hotels and similar accommodation,Calabria,2023,93901.0
91,Bedplaces,Number,Hotels and similar accommodation,Sicilia,2021,124042.0
92,Bedplaces,Number,Hotels and similar accommodation,Sicilia,2022,123618.0
93,Bedplaces,Number,Hotels and similar accommodation,Sicilia,2023,124542.0
96,Bedplaces,Number,Hotels and similar accommodation,Sardegna,2021,110787.0
