,Indicator,Residence_Type,unit,Region,Year,Value
12,Nights spent,Domestic country,Number,Piemonte,2021,417993
13,Nights spent,Domestic country,Number,Piemonte,2022,679232
14,Nights spent,Domestic country,Number,Piemonte,2023,888610
17,Nights spent,Domestic country,Number,Piemonte,2021,14771
18,Nights spent,Domestic country,Number,Piemonte,2022,22180
19,Nights spent,Domestic country,Number,Piemonte,2023,23607
22,Nights spent,Domestic country,Number,Piemonte,2021,12132
23,Nights spent,Domestic country,Number,Piemonte,2022,19215
24,Nights spent,Domestic country,Number,Piemonte,2023,24343
27,Nights spent,Domestic country,Number,Piemonte,2021,70544
28,Nights spent,Domestic country,Number,Piemonte,2022,91804
29,Nights spent,Domestic country,Number,Piemonte,2023,104417
32,Nights spent,Domestic country,Number,Piemonte,2021,38358
33,Nights spent,Domestic country,Number,Piemonte,2022,47511
34,Nights spent,Domestic country,Number,Piemonte,2023,60790
37,Nights spent,Domestic country,Number,Piemonte,2021,107543
38,Nights spent,Domestic country,Number,Piemonte,2022,151980
39,Nights spent,Domestic country,Number,Piemonte,2023,183899
42,Nights spent,Domestic country,Number,Piemonte,2021,31539
43,Nights spent,Domestic country,Number,Piemonte,2022,42367
44,Nights spent,Domestic country,Number,Piemonte,2023,54352
47,Nights spent,Domestic country,Number,Piemonte,2021,30659
48,Nights spent,Domestic country,Number,Piemonte,2022,39972
49,Nights spent,Domestic country,Number,Piemonte,2023,53491
52,Nights spent,Domestic country,Number,Valle d'Aosta,2021,287807
53,Nights spent,Domestic country,Number,Valle d'Aosta,2022,450057
54,Nights spent,Domestic country,Number,Valle d'Aosta,2023,503398
57,Nights spent,Domestic country,Number,Liguria,2021,219198
58,Nights spent,Domestic country,Number,Liguria,2022,271213
59,Nights spent,Domestic country,Number,Liguria,2023,324112
62,Nights spent,Domestic country,Number,Liguria,2021,294577
63,Nights spent,Domestic country,Number,Liguria,2022,376830
64,Nights spent,Domestic country,Number,Liguria,2023,449644
67,Nights spent,Domestic country,Number,Liguria,2021,376019
68,Nights spent,Domestic country,Number,Liguria,2022,477561
