,Accommodation_Capacity,Unit of measurement,Region,Year,Value
31,Bedplaces,Percentage,Piemonte,2021,31.9
32,Bedplaces,Percentage,Piemonte,2022,44.2
33,Bedplaces,Percentage,Piemonte,2023,44.4
36,Bedplaces,Percentage,Valle d'Aosta,2021,31.4
37,Bedplaces,Percentage,Valle d'Aosta,2022,41.9
38,Bedplaces,Percentage,Valle d'Aosta,2023,46.7
41,Bedplaces,Percentage,Liguria,2021,37.5
42,Bedplaces,Percentage,Liguria,2022,43.2
43,Bedplaces,Percentage,Liguria,2023,43.6
46,Bedplaces,Percentage,Lombardia,2021,36.5
47,Bedplaces,Percentage,Lombardia,2022,50.2
48,Bedplaces,Percentage,Lombardia,2023,51.4
56,Bedplaces,Percentage,Abruzzo,2021,41.6
57,Bedplaces,Percentage,Abruzzo,2022,48.1
58,Bedplaces,Percentage,Abruzzo,2023,46.2
61,Bedplaces,Percentage,Molise,2021,32.7
62,Bedplaces,Percentage,Molise,2022,32.3
63,Bedplaces,Percentage,Molise,2023,36.5
66,Bedplaces,Percentage,Campania,2021,41.3
67,Bedplaces,Percentage,Campania,2022,59.7
68,Bedplaces,Percentage,Campania,2023,64.3
71,Bedplaces,Percentage,Puglia,2021,31.3
72,Bedplaces,Percentage,Puglia,2022,32.5
73,Bedplaces,Percentage,Puglia,2023,33.4
76,Bedplaces,Percentage,Basilicata,2021,32.4
77,Bedplaces,Percentage,Basilicata,2022,38.2
78,Bedplaces,Percentage,Basilicata,2023,36.3
81,Bedplaces,Percentage,Calabria,2021,35.2
82,Bedplaces,Percentage,Calabria,2022,38.6
83,Bedplaces,Percentage,Calabria,2023,42.2
91,Bedplaces,Percentage,Sicilia,2021,30.2
92,Bedplaces,Percentage,Sicilia,2022,37.1
93,Bedplaces,Percentage,Sicilia,2023,42.0
96,Bedplaces,Percentage,Sardegna,2021,34.5
97,Bedplaces,Percentage,Sardegna,2022,40.5
98,Bedplaces,Percentage,Sardegna,2023,51.6
106,Bedplaces,Percentage,Trentino-Alto Adige,2021,63.7
107,Bedplaces,Percentage,Trentino-Alto Adige,2022,65.9
108,Bedplaces,Percentage,Trentino-Alto Adige,2023,66.6
111,Bedplaces,Percentage,Trentino-Alto Adige,2021,48.6
112,Bedplaces,Percentage,Trentino-Alto Adige,2022,55.6
113,Bedplaces,Percentage,Trentino-Alto Adige,2023,60.3
116,Bedplaces,Percentage,Veneto,2021,42.4
117,Bedplaces,Percentage,Veneto,2022,53.2
118,Bedplaces,Percentage,Veneto,2023,55.5
121,Bedplaces,Percentage,Friuli Venezia Giulia,2021,28.9
122,Bedplaces,Percentage,Friuli Venezia Giulia,2022,37.9
123,Bedplaces,Percentage,Friuli Venezia Giulia,2023,40.9
126,Bedplaces,Percentage,Emilia-Romagna,2021,48.8
127,Bedplaces,Percentage,Emilia-Romagna,2022,52.5
128,Bedplaces,Percentage,Emilia-Romagna,2023,51.2
136,Bedplaces,Percentage,Toscana,2021,29.4
137,Bedplaces,Percentage,Toscana,2022,38.2
138,Bedplaces,Percentage,Toscana,2023,41.0
141,Bedplaces,Percentage,Umbria,2021,30.9
142,Bedplaces,Percentage,Umbria,2022,38.0
143,Bedplaces,Percentage,Umbria,2023,41.6
146,Bedplaces,Percentage,Marche,2021,41.9
147,Bedplaces,Percentage,Marche,2022,41.8
148,Bedplaces,Percentage,Marche,2023,44.4
151,Bedplaces,Percentage,Lazio,2021,23.0
152,Bedplaces,Percentage,Lazio,2022,58.5
153,Bedplaces,Percentage,Lazio,2023,71.1
185,Bedrooms,Percentage,Piemonte,2021,33.7
186,Bedrooms,Percentage,Piemonte,2022,46.7
187,Bedrooms,Percentage,Piemonte,2023,47.0
190,Bedrooms,Percentage,Valle d'Aosta,2021,33.2
191,Bedrooms,Percentage,Valle d'Aosta,2022,44.3
192,Bedrooms,Percentage,Valle d'Aosta,2023,49.4
195,Bedrooms,Percentage,Liguria,2021,39.7
196,Bedrooms,Percentage,Liguria,2022,45.7
197,Bedrooms,Percentage,Liguria,2023,46.1
200,Bedrooms,Percentage,Lombardia,2021,38.6
201,Bedrooms,Percentage,Lombardia,2022,53.0
202,Bedrooms,Percentage,Lombardia,2023,54.4
210,Bedrooms,Percentage,Abruzzo,2021,44.0
211,Bedrooms,Percentage,Abruzzo,2022,50.8
212,Bedrooms,Percentage,Abruzzo,2023,48.9
215,Bedrooms,Percentage,Molise,2021,34.5
216,Bedrooms,Percentage,Molise,2022,34.2
217,Bedrooms,Percentage,Molise,2023,38.6
220,Bedrooms,Percentage,Campania,2021,43.6
221,Bedrooms,Percentage,Campania,2022,63.1
222,Bedrooms,Percentage,Campania,2023,68.0
225,Bedrooms,Percentage,Puglia,2021,33.0
226,Bedrooms,Percentage,Puglia,2022,34.4
227,Bedrooms,Percentage,Puglia,2023,35.3
230,Bedrooms,Percentage,Basilicata,2021,34.2
231,Bedrooms,Percentage,Basilicata,2022,40.3
232,Bedrooms,Percentage,Basilicata,2023,38.4
235,Bedrooms,Percentage,Calabria,2021,37.2
236,Bedrooms,Percentage,Calabria,2022,40.8
237,Bedrooms,Percentage,Calabria,2023,44.6
245,Bedrooms,Percentage,Sicilia,2021,31.9
246,Bedrooms,Percentage,Sicilia,2022,39.2
247,Bedrooms,Percentage,Sicilia,2023,44.4
250,Bedrooms,Percentage,Sardegna,2021,36.5
251,Bedrooms,Percentage,Sardegna,2022,42.8
252,Bedrooms,Percentage,Sardegna,2023,54.5
260,Bedrooms,Percentage,Trentino-Alto Adige,2021,67.3
261,Bedrooms,Percentage,Trentino-Alto Adige,2022,69.7
262,Bedrooms,Percentage,Trentino-Alto Adige,2023,70.3
265,Bedrooms,Percentage,Trentino-Alto Adige,2021,51.3
266,Bedrooms,Percentage,Trentino-Alto Adige,2022,58.7
267,Bedrooms,Percentage,Trentino-Alto Adige,2023,63.7
270,Bedrooms,Percentage,Veneto,2021,44.8
271,Bedrooms,Percentage,Veneto,2022,56.2
272,Bedrooms,Percentage,Veneto,2023,58.7
275,Bedrooms,Percentage,Friuli Venezia Giulia,2021,30.5
276,Bedrooms,Percentage,Friuli Venezia Giulia,2022,40.0
277,Bedrooms,Percentage,Friuli Venezia Giulia,2023,43.3
280,Bedrooms,Percentage,Emilia-Romagna,2021,51.6
281,Bedrooms,Percentage,Emilia-Romagna,2022,55.5
282,Bedrooms,Percentage,Emilia-Romagna,2023,54.2
290,Bedrooms,Percentage,Toscana,2021,31.0
291,Bedrooms,Percentage,Toscana,2022,40.3
292,Bedrooms,Percentage,Toscana,2023,43.4
295,Bedrooms,Percentage,Umbria,2021,32.7
