Territory,DATA_TYPE_AGGR,Aggregate,VALUATION,Valuation (DESC),ADJUSTMENT,Adjustment (DESC),EDITION,Edition (DESC),TIME_PERIOD,Observation,OBS_STATUS,Observation status,NOTE_REF_AREA,Territory (NOTE_REF_AREA),NOTE_DATA_TYPE_AGGR,Aggregate (NOTE_DATA_TYPE_AGGR),NOTE_VALUATION,Valuation (NOTE_VALUATION),NOTE_ADJUSTMENT,Adjustment (NOTE_ADJUSTMENT),NOTE_EDITION,Edition (NOTE_EDITION),BASE_PER,Base year,UNIT_MEAS,Measure unit,UNIT_MULT,Multiplication unit,
Piemonte,B1GQ_B_W2_S1,Gross domestic product at market prices,V,Current prices,N,Raw data,2025M1,Jan-2025,2021,137596.8,,,,,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,T_BIS__2025M1_N2,January 2025 edition: Benchmark 2024 - Data are consistent with the ‘Annual National Accounts’,September 2024 edition.',,,EURO,Euro,6,Millions
Piemonte,B1GQ_B_W2_S1,Gross domestic product at market prices,V,Current prices,N,Raw data,2025M1,Jan-2025,2022,146698.1,,,,,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,T_BIS__2025M1_N2,January 2025 edition: Benchmark 2024 - Data are consistent with the ‘Annual National Accounts’,September 2024 edition.',,,EURO,Euro,6,Millions
Piemonte,B1GQ_B_W2_S1,Gross domestic product at market prices,V,Current prices,N,Raw data,2025M1,Jan-2025,2023,156061.4,,,,,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,T_BIS__2025M1_N2,January 2025 edition: Benchmark 2024 - Data are consistent with the ‘Annual National Accounts’,September 2024 edition.',,,EURO,Euro,6,Millions
"Valle d""'Aosta / Vallée d""'Aoste'",B1GQ_B_W2_S1,Gross domestic product at market prices,V,Current prices,N,Raw data,2025M1,Jan-2025,2021,4783,,,,,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,T_BIS__2025M1_N2,January 2025 edition: Benchmark 2024 - Data are consistent with the ‘Annual National Accounts’,September 2024 edition.',,,EURO,Euro,6,Millions
"Valle d""'Aosta / Vallée d""'Aoste'",B1GQ_B_W2_S1,Gross domestic product at market prices,V,Current prices,N,Raw data,2025M1,Jan-2025,2022,5409.3,,,,,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,T_BIS__2025M1_N2,January 2025 edition: Benchmark 2024 - Data are consistent with the ‘Annual National Accounts’,September 2024 edition.',,,EURO,Euro,6,Millions
"Valle d""'Aosta / Vallée d""'Aoste'",B1GQ_B_W2_S1,Gross domestic product at market prices,V,Current prices,N,Raw data,2025M1,Jan-2025,2023,5699,,,,,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,T_BIS__2025M1_N2,January 2025 edition: Benchmark 2024 - Data are consistent with the ‘Annual National Accounts’,September 2024 edition.',,,EURO,Euro,6,Millions
Liguria,B1GQ_B_W2_S1,Gross domestic product at market prices,V,Current prices,N,Raw data,2025M1,Jan-2025,2021,49382.5,,,,,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,T_BIS__2025M1_N2,January 2025 edition: Benchmark 2024 - Data are consistent with the ‘Annual National Accounts’,September 2024 edition.',,,EURO,Euro,6,Millions
Liguria,B1GQ_B_W2_S1,Gross domestic product at market prices,V,Current prices,N,Raw data,2025M1,Jan-2025,2022,53049.1,,,,,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,T_BIS__2025M1_N2,January 2025 edition: Benchmark 2024 - Data are consistent with the ‘Annual National Accounts’,September 2024 edition.',,,EURO,Euro,6,Millions
Liguria,B1GQ_B_W2_S1,Gross domestic product at market prices,V,Current prices,N,Raw data,2025M1,Jan-2025,2023,56952.2,,,,,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,T_BIS__2025M1_N2,January 2025 edition: Benchmark 2024 - Data are consistent with the ‘Annual National Accounts’,September 2024 edition.',,,EURO,Euro,6,Millions
Lombardia,B1GQ_B_W2_S1,Gross domestic product at market prices,V,Current prices,N,Raw data,2025M1,Jan-2025,2021,424241.9,,,,,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,T_BIS__2025M1_N2,January 2025 edition: Benchmark 2024 - Data are consistent with the ‘Annual National Accounts’,September 2024 edition.',,,EURO,Euro,6,Millions
Lombardia,B1GQ_B_W2_S1,Gross domestic product at market prices,V,Current prices,N,Raw data,2025M1,Jan-2025,2022,457669.6,,,,,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,T_BIS__2025M1_N2,January 2025 edition: Benchmark 2024 - Data are consistent with the ‘Annual National Accounts’,September 2024 edition.',,,EURO,Euro,6,Millions
Lombardia,B1GQ_B_W2_S1,Gross domestic product at market prices,V,Current prices,N,Raw data,2025M1,Jan-2025,2023,490349.8,,,,,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,T_BIS__2025M1_N2,January 2025 edition: Benchmark 2024 - Data are consistent with the ‘Annual National Accounts’,September 2024 edition.',,,EURO,Euro,6,Millions
