Territory,Total,Other type,Public transfers income,Self-employed income,Employee income,TIME_PERIOD,Obs_d2
Piemonte,34125,22702,27568,44609,39258,2021,168262
"Valle d""'Aosta / Vallée d""'Aoste'",35237,,30607,,36111,2021,101955
Liguria,31586,26564,26107,41462,36288,2021,162007
Lombardia,40277,28431,31993,58864,43017,2021,202582
Provincia Autonoma Bolzano / Bozen,44370,,32803,70485,46368,2021,194026
Provincia Autonoma Trento,38526,,28044,54715,41750,2021,163035
Veneto,37113,32099,30472,51723,39476,2021,190883
Friuli-Venezia Giulia,34637,,27302,53363,39967,2021,155269
Emilia-Romagna,39941,23480,32692,53197,42868,2021,192178
Toscana,35815,24009,31985,45826,36849,2021,174484
Umbria,38011,,35092,53150,35998,2021,162251
Marche,34730,,29144,45720,38399,2021,147993
Lazio,33205,16581,30597,36700,36598,2021,153681
Abruzzo,29021,,23557,27375,37621,2021,117574
Molise,27247,,22620,33576,32827,2021,116270
Campania,26676,12724,24026,32780,30404,2021,126610
Puglia,28097,11432,22885,34577,32201,2021,129192
Basilicata,29043,,22694,49709,31565,2021,133011
Calabria,26854,,25256,31049,30805,2021,113964
Isole,26409,10130,23697,34422,29403,2021,124061
Sicilia,26322,10338,23949,33605,28667,2021,122881
Sardegna,26653,,23008,37442,31498,2021,118601
Piemonte,36131,18528,29893,46892,40489,2022,171933
"Valle d""'Aosta / Vallée d""'Aoste'",39461,,32016,66771,38604,2022,176852
Liguria,34487,25889,31623,43482,36483,2022,171964
Lombardia,41428,26466,32189,58584,44329,2022,202996
Provincia Autonoma Bolzano / Bozen,45931,,41938,67224,43503,2022,198596
Provincia Autonoma Trento,42437,,33420,66628,43695,2022,186180
Veneto,40548,28443,31078,58643,42755,2022,201467
Friuli-Venezia Giulia,37527,,29492,60262,41607,2022,168888
Emilia-Romagna,42278,33425,37212,52679,43743,2022,209337
Toscana,39537,20115,33271,51488,41892,2022,186303
Umbria,41652,,34390,68332,40786,2022,185160
Marche,38160,,33474,49847,40284,2022,161765
Lazio,34957,14846,31132,39209,39424,2022,159568
Abruzzo,30634,,25896,28480,37720,2022,122730
Molise,29910,,24512,32952,35140,2022,122514
Campania,28758,20117,26213,30901,32217,2022,138206
Puglia,31214,10918,26325,41379,35123,2022,144959
Basilicata,30420,,22993,44805,36007,2022,134225
Calabria,26603,15207,24323,31793,29812,2022,127738
Isole,28511,8790,25503,31648,32674,2022,127126
Sicilia,28483,9215,25825,29367,32680,2022,125570
Sardegna,28591,,24662,39369,32656,2022,125278
Piemonte,39021,19816,33080,49938,42093,2023,183948
"Valle d""'Aosta / Vallée d""'Aoste'",41932,,36272,81765,39125,2023,199094
Liguria,37253,28504,33322,45948,38788,2023,183815
Lombardia,43825,19219,35248,62503,46754,2023,207549
Provincia Autonoma Bolzano / Bozen,44032,,34674,62301,47163,2023,188170
Provincia Autonoma Trento,41593,,33430,51596,46351,2023,172970
Veneto,40480,28222,32141,56704,43815,2023,201362
Friuli-Venezia Giulia,39146,,32206,65459,41475,2023,178286
Emilia-Romagna,43258,22667,37231,59070,45041,2023,207267
Toscana,39886,22747,32843,49599,43556,2023,188631
Umbria,44060,,37161,65082,43968,2023,190271
Marche,39432,27153,32653,51352,43330,2023,193920
Lazio,36334,19282,32848,39502,41403,2023,169369
Abruzzo,33085,,28740,37890,38451,2023,138166
Molise,31755,,27622,32622,36859,2023,128858
Campania,30222,15950,26156,32168,36817,2023,141313
Puglia,31415,12684,27593,37811,34734,2023,144237
Basilicata,31900,,24033,44135,38510,2023,138578
Calabria,28131,20855,26629,27896,31974,2023,135485
Isole,30677,9698,27913,36843,34652,2023,139783
Sicilia,29723,10582,27009,33223,34082,2023,134619
Sardegna,33343,,30397,49340,36253,2023,149333
