,Region,Year,Value,DS,institution_count
0,Abruzzo,2021,42.8,d6,250
1,Abruzzo,2021,15213.0,d1,250
2,Abruzzo,2021,590003.0,d2,250
3,Abruzzo,2021,1330887.0,d4,250
4,Abruzzo,2021,10395530.0,d5,250
5,Abruzzo,2021,104451415.0,d3,250
6,Abruzzo,2022,49.45,d6,250
7,Abruzzo,2022,15400.0,d1,250
8,Abruzzo,2022,896767.0,d2,250
9,Abruzzo,2022,1601094.0,d4,250
10,Abruzzo,2022,12779606.0,d5,250
11,Abruzzo,2022,127853026.0,d3,250
12,Abruzzo,2023,47.55,d6,250
13,Abruzzo,2023,15764.0,d1,250
14,Abruzzo,2023,1091573.0,d2,250
15,Abruzzo,2023,1745373.0,d4,250
16,Abruzzo,2023,13609640.0,d5,250
17,Abruzzo,2023,136748589.0,d3,250
18,Basilicata,2021,33.3,d6,88
19,Basilicata,2021,4674.0,d1,88
20,Basilicata,2021,166267.0,d2,88
21,Basilicata,2021,563627.0,d4,88
22,Basilicata,2021,3590314.0,d5,88
23,Basilicata,2021,37740389.0,d3,88
24,Basilicata,2022,39.25,d6,88
25,Basilicata,2022,4801.0,d1,88
26,Basilicata,2022,268584.0,d2,88
27,Basilicata,2022,745349.0,d4,88
28,Basilicata,2022,4437594.0,d5,88
29,Basilicata,2022,47426336.0,d3,88
30,Basilicata,2023,37.349999999999994,d6,88
31,Basilicata,2023,4952.0,d1,88
32,Basilicata,2023,310928.0,d2,88
33,Basilicata,2023,899805.0,d4,88
34,Basilicata,2023,5074648.0,d5,88
35,Basilicata,2023,54994064.0,d3,88
36,Calabria,2021,36.2,d6,272
37,Calabria,2021,22731.0,d1,272
38,Calabria,2021,519891.0,d2,272
39,Calabria,2021,1189610.0,d4,272
40,Calabria,2021,11954722.0,d5,272
41,Calabria,2021,114653761.0,d3,272
42,Calabria,2022,39.7,d6,272
43,Calabria,2022,23333.0,d1,272
44,Calabria,2022,705805.0,d2,272
45,Calabria,2022,1524410.0,d4,272
46,Calabria,2022,14509814.0,d5,272
47,Calabria,2022,140444042.0,d3,272
48,Calabria,2023,43.400000000000006,d6,272
49,Calabria,2023,21704.0,d1,272
50,Calabria,2023,817250.0,d2,272
51,Calabria,2023,1771596.0,d4,272
52,Calabria,2023,16201188.0,d5,272
53,Calabria,2023,157952786.0,d3,272
54,Campania,2021,42.45,d6,367
55,Campania,2021,29192.0,d1,367
56,Campania,2021,2471566.0,d2,367
57,Campania,2021,3257965.0,d4,367
58,Campania,2021,21420478.0,d5,367
59,Campania,2021,223486464.0,d3,367
60,Campania,2022,61.400000000000006,d6,367
61,Campania,2022,29925.0,d1,367
62,Campania,2022,5169320.0,d4,367
63,Campania,2022,6034263.0,d2,367
64,Campania,2022,35503000.0,d5,367
65,Campania,2022,366731649.0,d3,367
66,Campania,2023,66.15,d6,367
67,Campania,2023,31099.0,d1,367
68,Campania,2023,6039992.0,d4,367
69,Campania,2023,8041801.0,d2,367
70,Campania,2023,41391684.0,d5,367
71,Campania,2023,427764522.0,d3,367
72,Emilia-Romagna,2021,50.2,d6,659
73,Emilia-Romagna,2021,57126.0,d1,659
74,Emilia-Romagna,2021,1344164.0,d2,659
75,Emilia-Romagna,2021,8002741.0,d4,659
76,Emilia-Romagna,2021,61629978.0,d5,659
77,Emilia-Romagna,2021,621068359.0,d3,659
78,Emilia-Romagna,2022,54.0,d6,659
79,Emilia-Romagna,2022,57342.0,d1,659
80,Emilia-Romagna,2022,2549023.0,d2,659
81,Emilia-Romagna,2022,10675585.0,d4,659
82,Emilia-Romagna,2022,76299142.0,d5,659
83,Emilia-Romagna,2022,781169208.0,d3,659
84,Emilia-Romagna,2023,52.7,d6,659
85,Emilia-Romagna,2023,57700.0,d1,659
86,Emilia-Romagna,2023,3261512.0,d2,659
87,Emilia-Romagna,2023,11469459.0,d4,659
88,Emilia-Romagna,2023,78352274.0,d5,659
89,Emilia-Romagna,2023,810310625.0,d3,659
90,Friuli Venezia Giulia,2021,29.7,d6,210
91,Friuli Venezia Giulia,2021,21808.0,d1,210
92,Friuli Venezia Giulia,2021,622231.0,d2,210
93,Friuli Venezia Giulia,2021,1914388.0,d4,210
94,Friuli Venezia Giulia,2021,14551432.0,d5,210
95,Friuli Venezia Giulia,2021,147041572.0,d3,210
96,Friuli Venezia Giulia,2022,38.95,d6,210
97,Friuli Venezia Giulia,2022,21599.0,d1,210
98,Friuli Venezia Giulia,2022,975794.0,d2,210
99,Friuli Venezia Giulia,2022,2601523.0,d4,210
100,Friuli Venezia Giulia,2022,18701044.0,d5,210
101,Friuli Venezia Giulia,2022,191232720.0,d3,210
102,Friuli Venezia Giulia,2023,42.099999999999994,d6,210
103,Friuli Venezia Giulia,2023,22205.0,d1,210
104,Friuli Venezia Giulia,2023,1314897.0,d2,210
105,Friuli Venezia Giulia,2023,2910023.0,d4,210
106,Friuli Venezia Giulia,2023,19893750.0,d5,210
